Epoch,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,TestEpLen,AverageTrainEpRet,StdTrainEpRet,TrainEpLen,Q1,Q2
0,0,-100.0,0.0,100.0,0,0,0,0,0
1,1000,-119.9,0.29999998,20.9,-114.210526,11.353548,51.68421,-30.752588,-30.742708
2,2000,-100.0,0.0,100.0,-109.26667,9.909368,63.066666,-61.622845,-61.626022
3,3000,-100.0,0.0,100.0,-114.44444,17.295544,59.444443,-67.77711,-67.77608
4,4000,-47.1,0.29999998,48.1,-87.583336,23.809864,79.666664,-68.049515,-68.047646
5,5000,-46.9,0.29999998,47.9,-63.5625,24.5687,64.25,-67.16014,-67.15893
6,6000,-100.0,0.0,100.0,-90.36364,20.441813,90.545456,-64.227036,-64.22552
7,7000,-100.0,0.0,100.0,-100.0,0.0,100.0,-67.63367,-67.6329
8,8000,-100.0,0.0,100.0,-100.0,0.0,100.0,-62.424625,-62.424286
9,9000,-103.8,7.5999994,84.0,-100.0,0.0,100.0,-62.756542,-62.756805
10,10000,-109.5,9.5,60.0,-100.0,0.0,100.0,-62.87266,-62.87149
11,11000,-100.0,0.0,100.0,-105.84615,8.769231,75.38461,-60.60629,-60.60552
12,12000,-100.0,0.0,100.0,-101.72727,5.462116,92.72727,-57.241844,-57.2411
13,13000,-100.0,0.0,100.0,-118.454544,35.09821,91.454544,-67.28295,-67.279175
14,14000,-102.4,7.2000003,92.5,-97.72727,16.701067,88.818184,-79.94727,-79.94603
15,15000,-100.0,0.0,100.0,-74.76923,22.712767,75.38461,-75.85927,-75.85897
16,16000,-100.0,0.0,100.0,-100.0,0.0,100.0,-73.153564,-73.15378
17,17000,-100.0,0.0,100.0,-100.0,0.0,100.0,-80.46177,-80.46266
18,18000,-100.0,0.0,100.0,-100.0,0.0,100.0,-87.76758,-87.76752
19,19000,-100.0,0.0,100.0,-100.0,0.0,100.0,-89.7826,-89.78191
20,20000,-102.6,7.8,92.7,-105.25,13.229544,80.583336,-91.65078,-91.650894
21,21000,-102.5,7.5,92.6,-104.833336,10.815369,88.333336,-97.37332,-97.37388
22,22000,-100.0,0.0,100.0,-100.0,0.0,100.0,-98.87178,-98.871346
23,23000,-100.0,0.0,100.0,-100.0,0.0,100.0,-99.11212,-99.11238
24,24000,-100.0,0.0,100.0,-99.4,1.8,99.5,-95.21539,-95.21519
25,25000,-58.6,1.56205,59.6,-95.1,11.510429,95.3,-95.478325,-95.47755
26,26000,-100.0,0.0,100.0,-96.818184,7.0170984,97.0,-97.42184,-97.42171
27,27000,-100.0,0.0,100.0,-94.7,10.602359,94.9,-99.16528,-99.16539
28,28000,-100.0,0.0,100.0,-100.0,0.0,100.0,-98.30749,-98.30689
29,29000,-100.0,0.0,100.0,-100.0,0.0,100.0,-99.22452,-99.22457
30,30000,-100.0,0.0,100.0,-96.72727,10.349272,96.818184,-99.81844,-99.81829
31,31000,-100.0,0.0,100.0,-88.36364,15.812956,88.818184,-100.1195,-100.119804
32,32000,-100.0,0.0,100.0,-100.0,0.0,100.0,-99.63553,-99.63548
33,33000,-47.2,0.4,48.2,-90.72727,19.670424,90.90909,-100.42503,-100.4248
34,34000,-47.3,0.4582576,48.3,-57.117645,19.863897,57.941177,-98.65081,-98.65106
35,35000,-47.7,0.4582576,48.7,-50.15,11.455459,51.1,-92.25961,-92.26024
36,36000,-47.1,0.29999998,48.1,-47.190475,0.7315377,48.190475,-80.353,-80.35349
37,37000,-46.9,0.5385165,47.9,-47.263157,0.6359498,48.263157,-73.73471,-73.73482
38,38000,-47.2,0.4,48.2,-59.055557,21.894882,59.833332,-71.36178,-71.362076
39,39000,-47.2,0.4,48.2,-47.4,0.5830952,48.4,-71.19296,-71.19318
40,40000,-47.9,0.29999998,48.9,-47.42857,0.58321184,48.42857,-66.05478,-66.05533
41,41000,-47.4,0.48989797,48.4,-54.42105,20.340046,50.105263,-63.958595,-63.959133
